"id","SopDId","Description","HSOPD_Zone","Pre","Mid","Post","Input","ZoneID","Zones_Zone","Company","created_at","ImageRequired"
1647,80,"Condition and cleanliness of food contact surfaces observed clean, sanitized, and in good repair.",69,1,1,1,0,69,Freezer 2,1,,0
1648,81,"Lunch room is kept clean after each employee break. (i.e. all food and drink removed from the tables, employees are cleaning after themselves)",10,1,1,1,0,10,Lunch Room,1,,0
1649,82,"Facilities have soap, hot and cold or tempered water, sanitary towels (disposable papertowels), waste receptacles and posted hand washing signs. Properly maintained",14,1,1,1,0,14,Bathrooms,1,,0
1650,83,"Product containers are covered, when necessary, to protect the product from contamination. Drainage from product containers is directed to floor drains.",30,1,1,1,0,30,General,1,,0
1651,84,"Condensate from fixtures, ducts, and pipes does not contaminate seafood, food contact surfaces or packing material.",30,1,1,1,0,30,General,1,,0
1652,85,Unpackaged coded products separated from raw products,30,1,1,1,0,30,General,1,,0
1653,86,Locker room area is kept clean,30,1,1,1,0,30,General,1,,0
1654,87,Cooler 1 unit and equipment in good repair and acceptable working condition,4,1,1,1,0,4,Cooler 1,1,,0
1655,88,"Condition and cleanliness of food contact surfaces observed clean, sanitized, and in good repiar.",4,1,1,1,0,4,Cooler 1,1,,0
1656,89,"Condition and cleanliness of non-food contact areas observed clean, sanitized, free of water built up and in good repair.",4,1,1,1,0,4,Cooler 1,1,,0
1657,90,Cooler 2  temperature is at or below 40 degrees.,5,0,0,0,0,5,Cooler 2,1,,0
1658,91,"Cooler 2 unit is in good repair and acceptable working condition. Cleanliness of food contact and non food contact surfaces observed as clean, sanitized, and in proper care.",5,0,0,0,0,5,Cooler 2,1,,0
1659,92,All stairwells of the building are kept clean and free of debris and are in proper condition.,30,1,1,1,0,30,General,1,,0
1660,93,Sanitizer Being Used is a Quaternary Amonium Verified via Test Strip at 200 PPM For All Food Contact Surfaces. (MG 4-Quat MSDS provided in records),29,1,0,0,1,29,Sanitation,2,,0
1637,69,"Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair (i.e. floors, walls, shelves, sinks, etc.)",1,1,1,1,0,1,Process Room 1,1,,0
1634,66,"Condition and cleanliness of food contact surfaces observed clean, sanitized, and in good repair. (i.e. knives, gloves, aprons, tables, cutting boards, food process equipment.)",1,1,1,1,0,1,Process Room 1,1,,0
1661,94,Mop all non-food contact surfaces with foaming FCC-7 with Caustic and rinse away.,29,1,0,0,0,29,Sanitation,2,,0
1662,96,Sanitizer Being Used is a FCC-7 with Caustic Verified via Test Strip at 400 PPM For All Non-Food Contact Surfaces. (MG FCC-7 MSDS provided in records),29,1,0,0,1,29,Sanitation,2,,0
1663,97,All receiving check-lists have been logged and filed in accordance with the HACCP Plan,28,0,0,1,0,28,General,2,,0
1664,98,All production logs have been completed and filed in accordance to HACCP Plan,28,0,0,1,0,28,General,2,,0
1665,99,Receiving area clear and free from debris,30,1,1,1,0,30,General,1,,0
1666,100,"No evident spillage of debri such as wood from pallets, cardboard, plastic and plystyrene packaging materials, chemicals, oil and fluids as a control measure to ensure Storm Water Pollution Prevention Plan.",30,1,1,1,0,30,General,1,,0
1667,101,"No evident spillage of debri such as wood from pallets, cardboard, plastic and plystyrene packaging materials, chemicals, oil and fluids as a control measure to ensure Storm Water Pollution Prevention Plan.",28,1,1,1,0,28,General,2,,0
1668,102,Suffienct Hot Water Measuring At or Above 120 Degrees F. Available At All Sinks.,28,1,1,1,1,28,General,2,,0
1669,103,Chlorine Litmus Test Strip will be taken Post-Operationally during sanitizing hours with a Food-Safe acceptable concentration ranging between 50-100 ppm.,29,1,0,0,1,29,Sanitation,2,,0
1670,104,Foot Bath uses Eco Lab Clear V Sanitizer which is tested within appropriate levels via Test Strip to record the accepted ranges anywhere between 200-400 PPM.,29,1,0,0,1,29,Sanitation,2,,0
1671,105,Cooler 1 Temperature at or Below 38 Degrees F.,31,1,1,1,1,31,Cooler,3,,0
1672,106,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",31,1,0,1,0,31,Cooler,3,,0
1673,107,Cooler 1 Unit and Equipment Is In Good Repair and In Acceptable Working Condition.,31,0,0,1,0,31,Cooler,3,,0
1674,109,"Floors, Walls, and Other Surfaces observed Clean and Free From Debris.",35,1,1,1,0,35,Bathrooms,3,,0
1675,110,"All Hand-Washing Stations Cleaned & Properly Supplied.  (Soap, Paper Towels, Etc.)",35,1,1,1,0,35,Bathrooms,3,,0
1676,111,Thermometer PROBE #1: Accurate as Verified By Using The Ice Bath Method,37,1,0,0,1,37,Tools,3,,0
1677,112,Safety Of Water And Ice:   Water Faucets and Fixtures Have Anti-Siphoning Devices.,36,1,0,1,0,36,General,3,,0
1678,113,Thermometer PROBE #2: Accurate as Verified By Using The Ice Bath Method,37,1,0,0,1,37,Tools,3,,0
1679,114,Thermometer LASER #1: Accurate as Verified By Using The Ice Bath Method,37,1,0,0,1,37,Tools,3,,0
1680,115,Thermometer LASER #2: Accurate as Verified By Using The Ice Bath Method,37,1,0,0,1,37,Tools,3,,0
1681,117,"Condition & Cleanliness of Food Contact Surfaces (Including Utensils, Gloves & Outer Garments) Are Adequately Clean and Sanitary.",36,1,0,1,0,36,General,3,,0
1682,118,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",32,1,0,1,0,32,Freezer,3,,0
1683,119,Freezer 1 Temperature at or Below 15 Degrees F.,32,1,0,1,1,32,Freezer,3,,0
1684,121,Prevention of Cross-Contamination: Employee Practices Do Not Result In Food Contamination.,36,1,0,1,0,36,General,3,,0
1685,122,Prevention of Cross-Contamination: Plant Grounds Are In Good Condition,36,1,0,1,0,36,General,3,,0
1686,123,Prevention of Cross-Contamination: Floors Have Adequate Drainage.,36,1,0,1,0,36,General,3,,0
1687,124,Prevention of Cross-Contamination: Plant Building Is In Good Repair.,36,1,0,1,0,36,General,3,,0
1688,125,Prevention of Cross-Contamination: Different Products Processing Separated By Space Or Time.,36,1,0,1,0,36,General,3,,0
1689,126,Prevention of Cross-Contamination:  Waste Is Removed From Processing Areas.,36,1,0,1,0,36,General,3,,0
1690,127,Prevention of Cross-Contamination: Safety-Type Lighting Used.,36,1,0,1,0,36,General,3,,0
1691,128,Prevention of Cross-Contamination:  No Drip Over Food Or Packaging Materials,36,1,0,1,0,36,General,3,,0
1692,130,Prevention of Cross-Contamination:  Different Products Physically Separated In Cooler,31,1,0,0,0,31,Cooler,3,,0
1693,131,Prevention of Cross-Contamination:  Different Products Physically Separated In Freezer,32,1,0,1,0,32,Freezer,3,,0
1694,132,Prevention of Cross-Contamination:  Packaging Materials Protected From Contaminants,36,1,0,1,0,36,General,3,,0
1695,133,"All Toilet Facilities are Clean, Sanitary and In Good Repair.",35,1,0,1,0,35,Bathrooms,3,,0
1696,135,"Food, Food-Packaging Materials, and Food Contact Surfaces are Protected From Adulteration.",36,1,1,1,0,36,General,3,,0
1697,136,Equipment Used Are All In Good Repair.,36,1,0,1,0,36,General,3,,0
1698,137,Toxic Compounds Identified and Stored Properly.,36,1,0,1,0,36,General,3,,0
1699,138,Proper Containers and Procedures Are Used to Separate Toxic Compounds.,36,1,0,1,0,36,General,3,,0
1700,139,Employee Health Conditions Are Acceptable.,38,1,0,1,0,38,Personnel,3,,0
1701,140,Employees do Not Have Infected Lesions.,38,1,0,1,0,38,Personnel,3,,0
1702,141,Exclusion Of Pests:  No Pests In Plant.,36,1,0,1,0,36,General,3,,0
1703,143,Hino 1 is clean and presentable.,40,1,0,0,0,40,Fleet,1,,0
1704,144,Hino 1 refrigeration unit in proper working condition and holding temp.,40,1,0,0,0,40,Fleet,1,,0
1705,145,Hino 1 in good working condition,40,1,0,0,0,40,Fleet,1,,0
1706,146,Hino 2 in good working condition,40,1,0,0,0,40,Fleet,1,,0
1707,147,Hino 2 is clean and presentable.,40,1,0,0,0,40,Fleet,1,,0
1708,148,Hino 2 refrigeration unit in proper working condition and holding temp.,40,1,0,0,0,40,Fleet,1,,0
1709,149,Freightliner in good working condition,40,1,0,0,0,40,Fleet,1,,0
1710,150,Freightliner is clean and presentable.,40,1,0,0,0,40,Fleet,1,,0
1713,153,Isuzu in good working condition,40,1,0,0,0,40,Fleet,1,,0
1714,154,Isuzu refrigeration unit in proper working condition and holding temp.,40,1,0,0,0,40,Fleet,1,,0
1715,155,All vans in good working condition,40,1,0,0,0,40,Fleet,1,,0
1716,156,All Vans clean and presentable.,40,1,0,0,0,40,Fleet,1,,0
1717,157,All Vans refrigeration unit in proper working condition and holding temp.,40,1,0,0,0,40,Fleet,1,,0
1718,158,Labels observed on finished product and found to be correct and accurate including allergen information.,30,0,1,0,0,30,General,1,,0
1719,160,"Perform a complete Visual and Functional test on all operational Electric Jacks (8), Forklifts (5), and Reachlifts (2). Report any issues.",41,1,0,0,0,41,P.I.E,1,,0
1720,161,Ensure all P.I.E. with a battery charge of 25% or below is plugged into the chargers for at least 8hrs before processing arrives in the morning.,41,0,0,1,0,41,P.I.E,1,,0
1721,162,Ensure all other P.I.E are powered off.,41,0,0,1,0,41,P.I.E,1,,0
1722,163,Inspect all first aid kits and eye wash stations to ensure they are adequately supplied and uncontaminated.,42,1,0,0,0,42,First Aid Station,1,,0
1723,164,"Sanitizer(Quat) strength, 200 ppm, verified through test strip.",39,0,0,0,0,39,Sanitation,3,,0
1724,165,Coolers 1 & 2 Temperatures is at or Below 38F,72,1,1,1,1,72,Temperatures,14,,0
1725,166,Freezer 3 temperature is at or below 8F,72,1,1,1,1,72,Temperatures,14,,0
1726,167,Cooler 1 & 2 Units & Equipment are in good repair and proper working condition,43,1,1,1,0,43,Coolers,14,,0
1727,168,Freezer unit and equipment are in good repair and proper working condition,54,1,1,1,0,54,Freezers,14,,0
1728,169,"Cooler 1 & 2 floors, walls and ceilings observed clean and free of debris.",43,1,1,1,0,43,Coolers,14,,0
1729,170,"Freezer 1 floors, walls and ceilings observed clean and free of debris.",54,1,1,1,0,54,Freezers,14,,0
1730,171,Presence of Ice all products observed with new clean ice.,53,1,1,1,0,53,General,14,,0
1731,172,Sanitizer buckets filled- Solution Tested and within the appropriate PPM.,44,1,1,1,0,44,Sanitation,14,,0
1733,174,"All machinery in processing room must be clean, sanitized and in good repair.",46,1,1,1,0,46,Production,14,,0
1734,175,"Condition and cleanliness of food contact surfaces are observed clean, sanitized, free of debris and in proper working condition.",46,1,1,1,0,46,Production,14,,0
1735,176,"Condition and cleanliness of Non-food contact surfaces are observed clean, sanitized, free of debris and in proper working condition.",46,1,1,1,0,46,Production,14,,0
1736,177,Safety of Water: check for blackflow devices,47,1,1,1,0,47,Water Safety,14,,0
1737,178,Condition and Cleanliness of all Food Contact Surfaces: Prevention of Cross Contamination,53,1,1,1,0,53,General,14,,0
1738,179,Product is protected from splash and condensate drip,46,1,1,1,0,46,Production,14,,0
1739,180,Product is not directly in contact with floor,46,1,1,1,0,46,Production,14,,0
1740,181,Product is seperated by lot as to ensure prevention of cross contamination of allergens.,46,1,1,1,0,46,Production,14,,0
1741,182,Personal items not stored in processing area. Employees must store personal belongings in designated area.,53,1,1,1,0,53,General,14,,0
1742,183,No eating or use of tobacco in processing area.,53,1,1,1,0,53,General,14,,0
1743,184,Employees hands must be washed after any breaks.,53,1,1,1,0,53,General,14,,0
1744,185,Toilet and Handwashing facilities are clean and properly supplied,49,1,1,1,0,49,Janitorial,14,,0
1745,186,"Bathroom facilities have soap, sanitary towels (disposable paper towels), waste receptacles and posted hand washing signs. Properly maintained.",49,1,1,1,0,49,Janitorial,14,,0
1746,187,Hand washing facilities have cold and hot water,49,1,1,1,0,49,Janitorial,14,,0
1747,188,"Protection from adulterants: light fixtures shielded, product protected during processing.",48,1,1,1,0,48,Maintenance,14,,0
1748,189,Drains are clean and free of debris,48,1,1,1,0,48,Maintenance,14,,0
1749,190,Protection from Adulterants: Ceilings observed clean and in good condition,48,1,1,1,0,48,Maintenance,14,,0
1750,191,"Proper labeling, storage and use of toxic compounds: cleaning supplies are stored in designated areas away from product",50,1,1,1,0,50,Labeling,14,,0
1751,192,All supplies labeled and toxic compounds are stored properly.,50,1,1,1,0,50,Labeling,14,,0
1752,193,Employees do not show any signs of medical issues.,53,1,1,1,0,53,General,14,,0
1753,194,"End of Day walk around: doors locked, machines plugged in, freezer & cooler in proper working condition, ice machine on, lights out.",53,1,1,1,0,53,General,14,,0
1754,195,Employees observed following safety procedures when using food contact & non-food contact equipment and utensils.,53,1,1,1,0,53,General,14,,0
1755,196,"Insects, rodents and other pests controlled and excluded from processing areas, Proper functioning doors, screens, and barriers.",53,1,1,1,0,53,General,14,,0
1756,197,"No evident spillage of debri such as wood from pallets, cardboard, plastic and plystyrene packaging materials, chemicals, oil and fluids as a control measure to ensure Storm Water",47,1,1,1,0,47,Water Safety,14,,0
1757,198,Ensure that there is no ice built up on the condensor unit,32,1,0,0,0,32,Freezer,3,,0
1758,199,"Remove ice build from the entrance of the freezer, if any.",32,1,0,0,0,32,Freezer,3,,0
1759,200,Scale # 2 checked for proper calibration with designated 10lb weight by placing weight in center of scale then on each corner.,2,1,1,0,0,2,Process Room 2,1,,0
1760,201,Labels observed on finished product and found to be correct and accurate,1,0,1,0,0,1,Process Room 1,1,,0
1712,152,Thermometer #4 (Probe) calibration verified through ice bath method with certified thermometer for reference,58,0,1,0,1,58,Thermometers,1,,0
1761,202,Labels observed on finished product and found to be correct and accurate.,2,0,1,0,0,2,Process Room 2,1,,0
1762,203,Freezer 1 Temperature Observed At or Below 8 Degrees F.,72,1,1,1,1,72,Temperatures,14,,0
1763,204,"Fillet Wash Conveyor is functioning adequately, clean, sanitized, and in good repair.",1,0,1,0,0,1,Process Room 1,1,,0
1764,205,"MS2612.40 Pin Bone Machine is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1765,206,"Ice Flaker Machine 1 functioning adequately, clean, sanitized, and in good repair.",1,0,0,0,0,1,Process Room 1,1,,0
1766,207,"Box Strapper Machine is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1767,208,"White Conveyor is functioning adequately, clean, sanitized, and in good repair.",1,0,0,0,0,1,Process Room 1,1,,0
1768,209,"Lazy Susan Table is functioning adequately, clean, sanitized, and in good repair.",1,0,0,0,0,1,Process Room 1,1,,0
1769,210,"Pin Bone Conveyor is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1770,211,"MS2730 Fillet Machine is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1771,212,"Blue Conveyor is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1772,213,"Whizard 1 & 2 are functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1773,214,"Refrigeration Unit is functioning adequately, clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1774,215,"Steen Tabletop Skinner is functioning adequately, clean, sanitized, and in good repair.",2,1,1,1,0,2,Process Room 2,1,,0
1775,216,"Nock Deep Skinner is functioning adequately, clean, sanitized, and in good repair.",3,1,1,1,0,3,Process Room 3,1,,0
1776,217,"Protection from adulterants: light fixtures shielded, product protected during processing. Lights in the processing room functioning.",2,1,1,1,0,2,Process Room 2,1,,0
1777,218,Scale #1checked for proper calibration with designated 10lb weight by placing weight in center of scale then on each corner.,1,1,1,0,0,1,Process Room 1,1,,0
1778,219,"Freezer 2 Floors, Walls, and Ceilings Observed Clean and Free From Debris.",69,1,1,1,0,69,Freezer 2,1,,0
1779,220,"Cooler 1 Floors, Walls, and Ceilings Observed Clean and Free From Debris.",4,1,1,1,0,4,Cooler 1,1,,0
1780,221,Thermometer #2 (Probe) calibration verified through ice bath method with certified thermometer for reference,58,0,0,0,0,58,Thermometers,1,,0
1782,223,Cooler Temperature is at or below 40 degrees.,59,1,1,1,0,59,Cooler 1,13,,0
1783,224,"Cooler Floors, Walls, and Ceilings Obseverved Clean and Free From Debris.",59,1,1,1,0,59,Cooler 1,13,,0
1784,225,Cooler unit and equipment is in good repair and in acceptable working condition.,59,1,1,1,0,59,Cooler 1,13,,0
1785,226,"Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair.",59,1,1,1,0,59,Cooler 1,13,,0
1786,227,Cooler Temperature is at or below 40 degrees.,60,1,1,1,0,60,Cooler 2,13,,0
1787,228,"Cooler Floors, Walls, and Ceilings Obseverved Clean and Free From Debris.",60,1,1,1,0,60,Cooler 2,13,,0
1788,229,Cooler unit and equipment is in good repair and in acceptable working condition.,60,1,1,1,0,60,Cooler 2,13,,0
1789,230,"Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair.",60,1,1,1,0,60,Cooler 2,13,,0
1790,231,Cooler Temperature is at or below 40 degrees.,61,1,1,1,0,61,Cooler 3,13,,0
1791,232,"Cooler Floors, Walls, and Ceilings Obseverved Clean and Free From Debris.",61,1,1,1,0,61,Cooler 3,13,,0
1792,233,Cooler unit and equipment is in good repair and in acceptable working condition.,61,1,1,1,0,61,Cooler 3,13,,0
1793,234,"Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair.",61,1,1,1,0,61,Cooler 3,13,,0
1794,235,"Product containers are covered, when necessary, to protect the product from contamination. Drainage from product containers is directed to floor drains.",62,1,1,1,0,62,General,13,,0
1795,236,"No evident spillage of debri such as wood from pallets, cardboard, plastic and plystyrene packaging materials, chemicals, oil and fluids as a control measure to ensure Storm Water Pollution Prevention Plan.",62,1,1,1,0,62,General,13,,0
1796,237,"Lights protected and ceilings oberved clean. Drains are clean and free of debris, Receiving area clear and free from debris.",62,1,1,1,0,62,General,13,,0
1797,238,All hand-washing stations cleaned and properly supplied,64,1,1,1,0,64,Restrooms,13,,0
1798,239,"All Floors, walls, and other surfaces observed clean and free from debris. toilets clean, properly functioning and adequately supplied.",64,1,1,1,0,64,Restrooms,13,,0
1799,240,"Facilities have soap, hot and cold or tempered water, sanitary towels (disposable papertowels), waste receptacles and posted hand washing signs. Properly maintained",64,1,1,1,0,64,Restrooms,13,,0
1800,241,Freezer 2 unit and equipment in good repair and acceptable working condition,69,1,1,1,0,69,Freezer 2,1,,0
1801,242,"All Equipment / Machine(s) Clean, Sanitized, and In Good Repair.",19,1,1,1,0,19,Pack Room 1,2,,0
1802,243,Non Eco Lab Foot Bath Sufficiently Supplied with 200-400 PPM Sanitizer Which Is Tested.,29,1,1,1,0,29,Sanitation,2,,0
